name,connection_type,axis,member_count,member_ids,adjacent_pairs
terminal_upper_col_00,vertical_terminal_strip,vertical,5,A00;B00;C00;D00;E00,A00<->B00;B00<->C00;C00<->D00;D00<->E00
terminal_lower_col_00,vertical_terminal_strip,vertical,5,F00;G00;H00;I00;J00,F00<->G00;G00<->H00;H00<->I00;I00<->J00
terminal_upper_col_01,vertical_terminal_strip,vertical,5,A01;B01;C01;D01;E01,A01<->B01;B01<->C01;C01<->D01;D01<->E01
terminal_lower_col_01,vertical_terminal_strip,vertical,5,F01;G01;H01;I01;J01,F01<->G01;G01<->H01;H01<->I01;I01<->J01
terminal_upper_col_02,vertical_terminal_strip,vertical,5,A02;B02;C02;D02;E02,A02<->B02;B02<->C02;C02<->D02;D02<->E02
terminal_lower_col_02,vertical_terminal_strip,vertical,5,F02;G02;H02;I02;J02,F02<->G02;G02<->H02;H02<->I02;I02<->J02
terminal_upper_col_03,vertical_terminal_strip,vertical,5,A03;B03;C03;D03;E03,A03<->B03;B03<->C03;C03<->D03;D03<->E03
terminal_lower_col_03,vertical_terminal_strip,vertical,5,F03;G03;H03;I03;J03,F03<->G03;G03<->H03;H03<->I03;I03<->J03
terminal_upper_col_04,vertical_terminal_strip,vertical,5,A04;B04;C04;D04;E04,A04<->B04;B04<->C04;C04<->D04;D04<->E04
terminal_lower_col_04,vertical_terminal_strip,vertical,5,F04;G04;H04;I04;J04,F04<->G04;G04<->H04;H04<->I04;I04<->J04
terminal_upper_col_05,vertical_terminal_strip,vertical,5,A05;B05;C05;D05;E05,A05<->B05;B05<->C05;C05<->D05;D05<->E05
terminal_lower_col_05,vertical_terminal_strip,vertical,5,F05;G05;H05;I05;J05,F05<->G05;G05<->H05;H05<->I05;I05<->J05
terminal_upper_col_06,vertical_terminal_strip,vertical,5,A06;B06;C06;D06;E06,A06<->B06;B06<->C06;C06<->D06;D06<->E06
terminal_lower_col_06,vertical_terminal_strip,vertical,5,F06;G06;H06;I06;J06,F06<->G06;G06<->H06;H06<->I06;I06<->J06
terminal_upper_col_07,vertical_terminal_strip,vertical,5,A07;B07;C07;D07;E07,A07<->B07;B07<->C07;C07<->D07;D07<->E07
terminal_lower_col_07,vertical_terminal_strip,vertical,5,F07;G07;H07;I07;J07,F07<->G07;G07<->H07;H07<->I07;I07<->J07
terminal_upper_col_08,vertical_terminal_strip,vertical,5,A08;B08;C08;D08;E08,A08<->B08;B08<->C08;C08<->D08;D08<->E08
terminal_lower_col_08,vertical_terminal_strip,vertical,5,F08;G08;H08;I08;J08,F08<->G08;G08<->H08;H08<->I08;I08<->J08
terminal_upper_col_09,vertical_terminal_strip,vertical,5,A09;B09;C09;D09;E09,A09<->B09;B09<->C09;C09<->D09;D09<->E09
terminal_lower_col_09,vertical_terminal_strip,vertical,5,F09;G09;H09;I09;J09,F09<->G09;G09<->H09;H09<->I09;I09<->J09
terminal_upper_col_10,vertical_terminal_strip,vertical,5,A10;B10;C10;D10;E10,A10<->B10;B10<->C10;C10<->D10;D10<->E10
terminal_lower_col_10,vertical_terminal_strip,vertical,5,F10;G10;H10;I10;J10,F10<->G10;G10<->H10;H10<->I10;I10<->J10
terminal_upper_col_11,vertical_terminal_strip,vertical,5,A11;B11;C11;D11;E11,A11<->B11;B11<->C11;C11<->D11;D11<->E11
terminal_lower_col_11,vertical_terminal_strip,vertical,5,F11;G11;H11;I11;J11,F11<->G11;G11<->H11;H11<->I11;I11<->J11
terminal_upper_col_12,vertical_terminal_strip,vertical,5,A12;B12;C12;D12;E12,A12<->B12;B12<->C12;C12<->D12;D12<->E12
terminal_lower_col_12,vertical_terminal_strip,vertical,5,F12;G12;H12;I12;J12,F12<->G12;G12<->H12;H12<->I12;I12<->J12
terminal_upper_col_13,vertical_terminal_strip,vertical,5,A13;B13;C13;D13;E13,A13<->B13;B13<->C13;C13<->D13;D13<->E13
terminal_lower_col_13,vertical_terminal_strip,vertical,5,F13;G13;H13;I13;J13,F13<->G13;G13<->H13;H13<->I13;I13<->J13
terminal_upper_col_14,vertical_terminal_strip,vertical,5,A14;B14;C14;D14;E14,A14<->B14;B14<->C14;C14<->D14;D14<->E14
terminal_lower_col_14,vertical_terminal_strip,vertical,5,F14;G14;H14;I14;J14,F14<->G14;G14<->H14;H14<->I14;I14<->J14
terminal_upper_col_15,vertical_terminal_strip,vertical,5,A15;B15;C15;D15;E15,A15<->B15;B15<->C15;C15<->D15;D15<->E15
terminal_lower_col_15,vertical_terminal_strip,vertical,5,F15;G15;H15;I15;J15,F15<->G15;G15<->H15;H15<->I15;I15<->J15
terminal_upper_col_16,vertical_terminal_strip,vertical,5,A16;B16;C16;D16;E16,A16<->B16;B16<->C16;C16<->D16;D16<->E16
terminal_lower_col_16,vertical_terminal_strip,vertical,5,F16;G16;H16;I16;J16,F16<->G16;G16<->H16;H16<->I16;I16<->J16
terminal_upper_col_17,vertical_terminal_strip,vertical,5,A17;B17;C17;D17;E17,A17<->B17;B17<->C17;C17<->D17;D17<->E17
terminal_lower_col_17,vertical_terminal_strip,vertical,5,F17;G17;H17;I17;J17,F17<->G17;G17<->H17;H17<->I17;I17<->J17
terminal_upper_col_18,vertical_terminal_strip,vertical,5,A18;B18;C18;D18;E18,A18<->B18;B18<->C18;C18<->D18;D18<->E18
terminal_lower_col_18,vertical_terminal_strip,vertical,5,F18;G18;H18;I18;J18,F18<->G18;G18<->H18;H18<->I18;I18<->J18
terminal_upper_col_19,vertical_terminal_strip,vertical,5,A19;B19;C19;D19;E19,A19<->B19;B19<->C19;C19<->D19;D19<->E19
terminal_lower_col_19,vertical_terminal_strip,vertical,5,F19;G19;H19;I19;J19,F19<->G19;G19<->H19;H19<->I19;I19<->J19
terminal_upper_col_20,vertical_terminal_strip,vertical,5,A20;B20;C20;D20;E20,A20<->B20;B20<->C20;C20<->D20;D20<->E20
terminal_lower_col_20,vertical_terminal_strip,vertical,5,F20;G20;H20;I20;J20,F20<->G20;G20<->H20;H20<->I20;I20<->J20
terminal_upper_col_21,vertical_terminal_strip,vertical,5,A21;B21;C21;D21;E21,A21<->B21;B21<->C21;C21<->D21;D21<->E21
terminal_lower_col_21,vertical_terminal_strip,vertical,5,F21;G21;H21;I21;J21,F21<->G21;G21<->H21;H21<->I21;I21<->J21
terminal_upper_col_22,vertical_terminal_strip,vertical,5,A22;B22;C22;D22;E22,A22<->B22;B22<->C22;C22<->D22;D22<->E22
terminal_lower_col_22,vertical_terminal_strip,vertical,5,F22;G22;H22;I22;J22,F22<->G22;G22<->H22;H22<->I22;I22<->J22
terminal_upper_col_23,vertical_terminal_strip,vertical,5,A23;B23;C23;D23;E23,A23<->B23;B23<->C23;C23<->D23;D23<->E23
terminal_lower_col_23,vertical_terminal_strip,vertical,5,F23;G23;H23;I23;J23,F23<->G23;G23<->H23;H23<->I23;I23<->J23
terminal_upper_col_24,vertical_terminal_strip,vertical,5,A24;B24;C24;D24;E24,A24<->B24;B24<->C24;C24<->D24;D24<->E24
terminal_lower_col_24,vertical_terminal_strip,vertical,5,F24;G24;H24;I24;J24,F24<->G24;G24<->H24;H24<->I24;I24<->J24
terminal_upper_col_25,vertical_terminal_strip,vertical,5,A25;B25;C25;D25;E25,A25<->B25;B25<->C25;C25<->D25;D25<->E25
terminal_lower_col_25,vertical_terminal_strip,vertical,5,F25;G25;H25;I25;J25,F25<->G25;G25<->H25;H25<->I25;I25<->J25
