id,section,row,column,group,group_index,x_warp,y_warp,x_image,y_image,visible_score,connection_name,connection_type,connection_axis,connection_index,connection_member_count,adjacent_connected_ids
A00,terminal_upper,A,0,,,69.225,201.243,126.94,549.51,46.062,terminal_upper_col_00,vertical_terminal_strip,vertical,0,5,B00
A01,terminal_upper,A,1,,,105.948,201.243,166.594,550.012,56.136,terminal_upper_col_01,vertical_terminal_strip,vertical,0,5,B01
A02,terminal_upper,A,2,,,142.672,201.243,206.139,550.513,62.21,terminal_upper_col_02,vertical_terminal_strip,vertical,0,5,B02
A03,terminal_upper,A,3,,,179.396,201.243,245.574,551.012,59.765,terminal_upper_col_03,vertical_terminal_strip,vertical,0,5,B03
A04,terminal_upper,A,4,,,216.119,201.243,284.902,551.509,70.309,terminal_upper_col_04,vertical_terminal_strip,vertical,0,5,B04
A05,terminal_upper,A,5,,,252.843,201.243,324.121,552.006,73.062,terminal_upper_col_05,vertical_terminal_strip,vertical,0,5,B05
A06,terminal_upper,A,6,,,289.567,201.243,363.232,552.501,94.111,terminal_upper_col_06,vertical_terminal_strip,vertical,0,5,B06
A07,terminal_upper,A,7,,,326.291,201.243,402.237,552.994,86.617,terminal_upper_col_07,vertical_terminal_strip,vertical,0,5,B07
A08,terminal_upper,A,8,,,363.014,201.243,441.134,553.487,97.037,terminal_upper_col_08,vertical_terminal_strip,vertical,0,5,B08
A09,terminal_upper,A,9,,,399.738,201.243,479.925,553.978,116.864,terminal_upper_col_09,vertical_terminal_strip,vertical,0,5,B09
A10,terminal_upper,A,10,,,436.462,201.243,518.61,554.467,119.123,terminal_upper_col_10,vertical_terminal_strip,vertical,0,5,B10
A11,terminal_upper,A,11,,,473.186,201.243,557.19,554.956,122.901,terminal_upper_col_11,vertical_terminal_strip,vertical,0,5,B11
A12,terminal_upper,A,12,,,509.909,201.243,595.665,555.443,109.383,terminal_upper_col_12,vertical_terminal_strip,vertical,0,5,B12
A13,terminal_upper,A,13,,,546.633,201.243,634.035,555.928,148.951,terminal_upper_col_13,vertical_terminal_strip,vertical,0,5,B13
A14,terminal_upper,A,14,,,583.357,201.243,672.301,556.412,139.877,terminal_upper_col_14,vertical_terminal_strip,vertical,0,5,B14
A15,terminal_upper,A,15,,,620.081,201.243,710.463,556.895,152.802,terminal_upper_col_15,vertical_terminal_strip,vertical,0,5,B15
A16,terminal_upper,A,16,,,656.804,201.243,748.522,557.377,162.21,terminal_upper_col_16,vertical_terminal_strip,vertical,0,5,B16
A17,terminal_upper,A,17,,,693.528,201.243,786.478,557.857,158.704,terminal_upper_col_17,vertical_terminal_strip,vertical,0,5,B17
A18,terminal_upper,A,18,,,730.252,201.243,824.332,558.337,171.432,terminal_upper_col_18,vertical_terminal_strip,vertical,0,5,B18
A19,terminal_upper,A,19,,,766.975,201.243,862.083,558.814,160.272,terminal_upper_col_19,vertical_terminal_strip,vertical,0,5,B19
A20,terminal_upper,A,20,,,803.699,201.243,899.733,559.291,177.531,terminal_upper_col_20,vertical_terminal_strip,vertical,0,5,B20
A21,terminal_upper,A,21,,,840.423,201.243,937.281,559.766,162.679,terminal_upper_col_21,vertical_terminal_strip,vertical,0,5,B21
A22,terminal_upper,A,22,,,877.147,201.243,974.729,560.24,155.123,terminal_upper_col_22,vertical_terminal_strip,vertical,0,5,B22
A23,terminal_upper,A,23,,,913.87,201.243,1012.076,560.713,161.531,terminal_upper_col_23,vertical_terminal_strip,vertical,0,5,B23
A24,terminal_upper,A,24,,,950.594,201.243,1049.323,561.184,156.605,terminal_upper_col_24,vertical_terminal_strip,vertical,0,5,B24
A25,terminal_upper,A,25,,,987.318,201.243,1086.47,561.654,151.642,terminal_upper_col_25,vertical_terminal_strip,vertical,0,5,B25
A26,terminal_upper,A,26,,,1024.042,201.243,1123.519,562.123,144.519,terminal_upper_col_26,vertical_terminal_strip,vertical,0,5,B26
A27,terminal_upper,A,27,,,1060.765,201.243,1160.468,562.591,148.457,terminal_upper_col_27,vertical_terminal_strip,vertical,0,5,B27
A28,terminal_upper,A,28,,,1097.489,201.243,1197.319,563.057,129.333,terminal_upper_col_28,vertical_terminal_strip,vertical,0,5,B28
A29,terminal_upper,A,29,,,1134.213,201.243,1234.072,563.522,156.84,terminal_upper_col_29,vertical_terminal_strip,vertical,0,5,B29
A30,terminal_upper,A,30,,,1170.937,201.243,1270.727,563.986,148.753,terminal_upper_col_30,vertical_terminal_strip,vertical,0,5,B30
A31,terminal_upper,A,31,,,1207.66,201.243,1307.285,564.449,153.21,terminal_upper_col_31,vertical_terminal_strip,vertical,0,5,B31
A32,terminal_upper,A,32,,,1244.384,201.243,1343.746,564.91,138.543,terminal_upper_col_32,vertical_terminal_strip,vertical,0,5,B32
A33,terminal_upper,A,33,,,1281.108,201.243,1380.11,565.371,129.691,terminal_upper_col_33,vertical_terminal_strip,vertical,0,5,B33
A34,terminal_upper,A,34,,,1317.831,201.243,1416.379,565.83,121.741,terminal_upper_col_34,vertical_terminal_strip,vertical,0,5,B34
A35,terminal_upper,A,35,,,1354.555,201.243,1452.551,566.287,120.123,terminal_upper_col_35,vertical_terminal_strip,vertical,0,5,B35
A36,terminal_upper,A,36,,,1391.279,201.243,1488.628,566.744,117.444,terminal_upper_col_36,vertical_terminal_strip,vertical,0,5,B36
A37,terminal_upper,A,37,,,1428.003,201.243,1524.611,567.2,110.531,terminal_upper_col_37,vertical_terminal_strip,vertical,0,5,B37
A38,terminal_upper,A,38,,,1464.726,201.243,1560.498,567.654,129.815,terminal_upper_col_38,vertical_terminal_strip,vertical,0,5,B38
A39,terminal_upper,A,39,,,1501.45,201.243,1596.292,568.107,96.543,terminal_upper_col_39,vertical_terminal_strip,vertical,0,5,B39
A40,terminal_upper,A,40,,,1538.174,201.243,1631.991,568.559,93.444,terminal_upper_col_40,vertical_terminal_strip,vertical,0,5,B40
