id,section,row,column,group,group_index,x_warp,y_warp,x_image,y_image,visible_score
A00,terminal_upper,A,0,,,31.801,105.735,318.035,417.632,53.642
A01,terminal_upper,A,1,,,52.909,105.735,337.808,417.731,50.481
A02,terminal_upper,A,2,,,74.017,105.735,357.576,417.83,58.272
A03,terminal_upper,A,3,,,95.125,105.735,377.339,417.928,57.346
A04,terminal_upper,A,4,,,116.232,105.735,397.096,418.027,55.963
A05,terminal_upper,A,5,,,137.34,105.735,416.849,418.126,62.963
A06,terminal_upper,A,6,,,158.448,105.735,436.597,418.225,63.519
A07,terminal_upper,A,7,,,179.555,105.735,456.34,418.323,64.309
A08,terminal_upper,A,8,,,200.663,105.735,476.078,418.422,66.975
A09,terminal_upper,A,9,,,221.771,105.735,495.811,418.52,69.84
A10,terminal_upper,A,10,,,242.878,105.735,515.538,418.619,66.531
A11,terminal_upper,A,11,,,263.986,105.735,535.261,418.718,66.889
A12,terminal_upper,A,12,,,285.094,105.735,554.979,418.816,58.753
A13,terminal_upper,A,13,,,306.201,105.735,574.691,418.915,72.63
A14,terminal_upper,A,14,,,327.309,105.735,594.399,419.013,68.457
A15,terminal_upper,A,15,,,348.417,105.735,614.102,419.112,71.963
A16,terminal_upper,A,16,,,369.524,105.735,633.799,419.21,69.963
A17,terminal_upper,A,17,,,390.632,105.735,653.492,419.309,68.654
A18,terminal_upper,A,18,,,411.74,105.735,673.179,419.407,74.691
A19,terminal_upper,A,19,,,432.848,105.735,692.862,419.505,77.321
A20,terminal_upper,A,20,,,453.955,105.735,712.539,419.604,79.827
A21,terminal_upper,A,21,,,475.063,105.735,732.212,419.702,81.407
A22,terminal_upper,A,22,,,496.171,105.735,751.88,419.8,74.63
A23,terminal_upper,A,23,,,517.278,105.735,771.542,419.899,78.21
A24,terminal_upper,A,24,,,538.386,105.735,791.2,419.997,71.556
A25,terminal_upper,A,25,,,559.494,105.735,810.852,420.095,83.432
A26,terminal_upper,A,26,,,580.601,105.735,830.5,420.193,68.605
A27,terminal_upper,A,27,,,601.709,105.735,850.142,420.291,75.494
A28,terminal_upper,A,28,,,622.817,105.735,869.78,420.39,68.938
A29,terminal_upper,A,29,,,643.924,105.735,889.413,420.488,68.654
A30,terminal_upper,A,30,,,665.032,105.735,909.04,420.586,67.667
A31,terminal_upper,A,31,,,686.14,105.735,928.663,420.684,71.778
A32,terminal_upper,A,32,,,707.247,105.735,948.28,420.782,61.42
A33,terminal_upper,A,33,,,728.355,105.735,967.893,420.88,69.333
A34,terminal_upper,A,34,,,749.463,105.735,987.501,420.978,66.432
A35,terminal_upper,A,35,,,770.571,105.735,1007.103,421.076,68.667
A36,terminal_upper,A,36,,,791.678,105.735,1026.701,421.174,68.049
A37,terminal_upper,A,37,,,812.786,105.735,1046.294,421.272,65.852
A38,terminal_upper,A,38,,,833.894,105.735,1065.881,421.37,72.765
A39,terminal_upper,A,39,,,855.001,105.735,1085.464,421.468,60.506
A40,terminal_upper,A,40,,,876.109,105.735,1105.042,421.565,65.21
A41,terminal_upper,A,41,,,897.217,105.735,1124.615,421.663,58.444
A42,terminal_upper,A,42,,,918.324,105.735,1144.183,421.761,64.593
A43,terminal_upper,A,43,,,939.432,105.735,1163.746,421.859,55.642
A44,terminal_upper,A,44,,,960.54,105.735,1183.304,421.957,53.543
A45,terminal_upper,A,45,,,981.647,105.735,1202.857,422.054,50.704
A46,terminal_upper,A,46,,,1002.755,105.735,1222.405,422.152,51.753
