epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4873,2.03671,4.52973,1.70107,0.6141,0.31406,0.32293,0.17943,1.8686,2.69752,1.6295,0.000253353,0.000253353,0.000253353
2,18.6722,1.81322,1.97291,1.51143,0.62281,0.51276,0.52521,0.28767,1.78031,1.85997,1.55143,0.000506322,0.000506322,0.000506322
3,26.2907,1.78545,1.73999,1.48996,0.56062,0.50969,0.53055,0.29237,1.77019,1.64409,1.58791,0.000755908,0.000755908,0.000755908
4,33.7642,1.75823,1.58729,1.41516,0.62059,0.53996,0.55485,0.31147,1.64966,1.61356,1.48954,0.000753774,0.000753774,0.000753774
5,41.3665,1.7003,1.47834,1.39114,0.75148,0.58602,0.59833,0.3326,1.67926,1.28494,1.49917,0.000748698,0.000748698,0.000748698
6,48.6183,1.69172,1.38972,1.40801,0.73496,0.59867,0.60424,0.33712,1.68012,1.31188,1.48001,0.000743623,0.000743623,0.000743623
7,55.7885,1.65513,1.3271,1.37599,0.73961,0.59594,0.62479,0.3369,1.65326,1.2477,1.49212,0.000738548,0.000738548,0.000738548
8,62.586,1.6278,1.31546,1.3794,0.74745,0.60073,0.63117,0.34743,1.66529,1.23045,1.50125,0.000733472,0.000733472,0.000733472
9,69.3242,1.64985,1.29583,1.39368,0.77046,0.62375,0.65826,0.37327,1.61593,1.26281,1.44968,0.000728397,0.000728397,0.000728397
10,76.7662,1.6272,1.25865,1.34139,0.73145,0.60987,0.66662,0.38057,1.62587,1.13397,1.459,0.000723321,0.000723321,0.000723321
11,84.0452,1.59904,1.24054,1.36783,0.69639,0.67203,0.68755,0.38227,1.61888,1.12415,1.43796,0.000718246,0.000718246,0.000718246
12,91.2814,1.61207,1.19249,1.3417,0.6924,0.65142,0.68076,0.3824,1.608,1.11153,1.44297,0.000713171,0.000713171,0.000713171
13,98.9031,1.57551,1.14005,1.29628,0.6686,0.66095,0.68978,0.39546,1.5806,1.06893,1.4202,0.000708095,0.000708095,0.000708095
14,106.47,1.57043,1.14674,1.32237,0.75741,0.6603,0.70678,0.39755,1.6017,1.1164,1.41872,0.00070302,0.00070302,0.00070302
15,114.125,1.58273,1.14422,1.31231,0.70224,0.66106,0.67618,0.39333,1.56475,1.14847,1.40608,0.000697944,0.000697944,0.000697944
16,121.689,1.53354,1.13685,1.30009,0.74175,0.6523,0.71407,0.40698,1.5649,1.06493,1.42059,0.000692869,0.000692869,0.000692869
17,129.286,1.55139,1.08462,1.31062,0.7161,0.65063,0.69573,0.41043,1.57362,1.03713,1.41042,0.000687794,0.000687794,0.000687794
18,136.688,1.5329,1.13614,1.31768,0.75063,0.65199,0.69781,0.40843,1.57475,1.1748,1.41977,0.000682718,0.000682718,0.000682718
19,143.996,1.52648,1.0984,1.31723,0.68107,0.68464,0.67443,0.38998,1.59707,1.06011,1.41579,0.000677643,0.000677643,0.000677643
20,151.026,1.5207,1.05263,1.28033,0.81686,0.64106,0.72714,0.41591,1.5789,1.03259,1.39997,0.000672567,0.000672567,0.000672567
