epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60592,1.67009,4.07894,1.25538,0,0,0,0,1.1054,4.08436,1.04806,5.716e-05,5.716e-05,5.716e-05
2,4.69732,1.22784,3.4118,0.98635,0.01086,0.55999,0.21006,0.1186,0.90353,3.62977,0.83305,0.000127337,0.000127337,0.000127337
3,7.12539,1.03715,2.03196,0.89566,0.01628,1,0.41331,0.24925,1.04242,3.26431,0.82311,0.000196099,0.000196099,0.000196099
4,9.45251,1.04368,1.51143,0.93082,0.01545,0.99649,0.43781,0.22658,1.0412,3.27665,0.83096,0.000263446,0.000263446,0.000263446
5,11.4438,0.96797,1.27692,0.90947,0.01498,0.99298,0.45639,0.24031,0.91457,3.31579,0.81526,0.000329379,0.000329379,0.000329379
6,13.4603,0.93903,1.14697,0.92585,0.01339,0.94737,0.39129,0.22845,0.9076,3.27859,0.82256,0.000393897,0.000393897,0.000393897
7,15.3852,0.86869,0.99679,0.89977,0.01455,1,0.6602,0.43008,0.89693,3.13305,0.83383,0.000457,0.000457,0.000457
8,17.3566,0.89509,0.94874,0.90927,0.01447,1,0.68957,0.41794,0.91546,3.10818,0.82941,0.000518688,0.000518688,0.000518688
9,19.3964,0.98458,0.90693,0.90281,0.01465,1,0.70852,0.36796,1.04361,3.16548,0.86203,0.000578962,0.000578962,0.000578962
10,21.4079,0.90256,0.92473,0.91709,0.01463,1,0.84844,0.5303,0.8323,3.03625,0.82712,0.000637821,0.000637821,0.000637821
11,23.2927,0.87991,0.84067,0.89563,0.01536,1,0.9344,0.70795,0.8258,2.90773,0.83332,0.000695266,0.000695266,0.000695266
12,25.2137,0.84595,0.80183,0.8852,0.01569,1,0.82062,0.56946,0.98979,2.85405,0.87816,0.000751295,0.000751295,0.000751295
13,27.0994,0.87444,0.82952,0.88564,0.01584,1,0.92235,0.70167,0.84837,2.68528,0.8491,0.00080591,0.00080591,0.00080591
14,29.0176,0.88783,0.82263,0.90792,1,0.21841,0.98326,0.77111,0.83065,2.53501,0.84852,0.000859111,0.000859111,0.000859111
15,30.9696,0.85462,0.84841,0.87623,1,0.12062,0.92379,0.64358,1.07678,2.59241,0.90378,0.000910896,0.000910896,0.000910896
16,32.8576,0.88987,0.80135,0.90076,1,0.11303,0.89407,0.67698,0.83879,2.40292,0.85389,0.000961267,0.000961267,0.000961267
17,34.7216,0.9289,0.79691,0.89831,0.9905,0.62842,0.995,0.75601,0.90011,2.18953,0.85399,0.00101022,0.00101022,0.00101022
18,36.8359,0.95878,0.78026,0.90816,0.9692,0.84783,0.995,0.75216,0.88149,1.94775,0.85077,0.00105776,0.00105776,0.00105776
19,38.911,0.86057,0.75578,0.89096,0.98017,0.99895,0.995,0.78049,0.85759,1.67112,0.84188,0.00110389,0.00110389,0.00110389
20,40.7914,0.82428,0.74672,0.87161,0.90141,0.71553,0.98588,0.76711,0.92588,1.2414,0.86852,0.0011486,0.0011486,0.0011486
21,42.6836,0.82041,0.75323,0.88614,0.91404,0.7484,0.97171,0.75851,0.88832,1.45746,0.8573,0.00114606,0.00114606,0.00114606
22,44.5311,0.78596,0.69198,0.87596,0.94251,0.79469,0.98016,0.76362,0.9388,1.72556,0.86879,0.00113191,0.00113191,0.00113191
23,46.4725,0.79562,0.75574,0.88114,0.94697,0.84213,0.98712,0.78846,0.92251,1.73122,0.86248,0.00111776,0.00111776,0.00111776
24,48.5153,0.78964,0.68586,0.86957,0.99354,0.97262,0.995,0.81896,0.80863,0.97889,0.8575,0.00110362,0.00110362,0.00110362
25,50.3814,0.7685,0.7078,0.85932,0.98663,0.99152,0.995,0.81431,0.80217,0.90867,0.85888,0.00108947,0.00108947,0.00108947
26,52.3043,0.78035,0.67359,0.87378,0.99089,0.99752,0.995,0.81087,0.83121,0.89488,0.86528,0.00107532,0.00107532,0.00107532
27,54.2013,0.81689,0.67823,0.87588,0.99033,0.99875,0.995,0.79079,0.88,0.91222,0.87513,0.00106118,0.00106118,0.00106118
28,56.0713,0.77933,0.70749,0.88931,0.99548,1,0.995,0.8318,0.73014,0.794,0.83398,0.00104703,0.00104703,0.00104703
29,57.9675,0.82578,0.67838,0.88782,0.98303,0.99973,0.995,0.79717,0.86508,0.74109,0.87113,0.00103288,0.00103288,0.00103288
30,59.9822,0.80496,0.64354,0.86394,0.98102,0.99906,0.995,0.7612,0.95469,0.72004,0.89986,0.00101873,0.00101873,0.00101873
31,61.897,0.81986,0.66721,0.87966,0.9827,0.99968,0.995,0.7709,0.89802,0.69893,0.88453,0.00100459,0.00100459,0.00100459
32,63.8504,0.78019,0.63608,0.86533,0.98431,0.99981,0.995,0.83455,0.77448,0.69567,0.86384,0.00099044,0.00099044,0.00099044
33,65.8109,0.71623,0.6647,0.86632,0.98528,0.99844,0.995,0.82247,0.84872,0.77238,0.89019,0.000976293,0.000976293,0.000976293
34,67.9658,0.78174,0.68222,0.88144,0.97184,0.99927,0.995,0.82825,0.79127,0.80199,0.8725,0.000962146,0.000962146,0.000962146
35,69.862,0.7403,0.65165,0.8782,0.9798,0.9987,0.995,0.82583,0.77347,0.71113,0.86448,0.000947999,0.000947999,0.000947999
36,71.8109,0.7384,0.62104,0.8571,0.99153,1,0.995,0.79211,0.87215,0.64773,0.89083,0.000933851,0.000933851,0.000933851
37,73.6863,0.73917,0.62965,0.8775,0.99022,1,0.995,0.81869,0.82888,0.63771,0.87252,0.000919704,0.000919704,0.000919704
38,75.5352,0.75149,0.60804,0.864,0.99078,1,0.995,0.84208,0.73577,0.61228,0.83903,0.000905557,0.000905557,0.000905557
39,77.475,0.76036,0.61951,0.8713,0.98891,1,0.995,0.82412,0.80174,0.64898,0.85107,0.00089141,0.00089141,0.00089141
40,79.3908,0.76304,0.59817,0.87331,0.98925,1,0.995,0.81878,0.80208,0.63034,0.85091,0.000877263,0.000877263,0.000877263
41,81.2835,0.67169,0.57262,0.84776,0.98834,1,0.995,0.82604,0.74801,0.60165,0.83861,0.000863116,0.000863116,0.000863116
42,83.1918,0.73532,0.58421,0.86329,0.99016,1,0.995,0.83048,0.72389,0.58518,0.83007,0.000848969,0.000848969,0.000848969
43,85.0727,0.68613,0.56927,0.86187,0.99072,1,0.995,0.83163,0.7417,0.59037,0.83739,0.000834822,0.000834822,0.000834822
44,86.9465,0.72408,0.58427,0.86385,0.98753,1,0.995,0.84715,0.69554,0.58466,0.82818,0.000820675,0.000820675,0.000820675
45,88.8714,0.72075,0.56814,0.8605,0.98905,0.99869,0.995,0.84912,0.68472,0.57573,0.82178,0.000806528,0.000806528,0.000806528
46,90.7809,0.66499,0.55545,0.84593,0.99166,0.99991,0.995,0.85132,0.67457,0.55266,0.82366,0.00079238,0.00079238,0.00079238
47,92.6564,0.65385,0.52584,0.84801,0.99364,1,0.995,0.82984,0.73973,0.55185,0.84441,0.000778233,0.000778233,0.000778233
48,94.6533,0.72662,0.5606,0.86375,0.99273,1,0.995,0.83461,0.71968,0.5493,0.83384,0.000764086,0.000764086,0.000764086
49,96.6528,0.66971,0.54329,0.8537,0.99225,1,0.995,0.84577,0.72049,0.54744,0.835,0.000749939,0.000749939,0.000749939
50,98.4789,0.66515,0.51911,0.85093,0.99115,1,0.995,0.83045,0.75348,0.55778,0.84679,0.000735792,0.000735792,0.000735792
51,100.394,0.67098,0.53063,0.86165,0.99122,1,0.995,0.81009,0.83951,0.5672,0.86973,0.000721645,0.000721645,0.000721645
52,102.313,0.67109,0.53527,0.84797,0.99295,1,0.995,0.83045,0.75696,0.54332,0.84422,0.000707498,0.000707498,0.000707498
53,104.214,0.67153,0.50188,0.84136,0.99256,1,0.995,0.8326,0.77029,0.53123,0.84888,0.000693351,0.000693351,0.000693351
54,106.097,0.67248,0.54522,0.85967,0.99487,1,0.995,0.83172,0.749,0.52201,0.84375,0.000679204,0.000679204,0.000679204
55,107.964,0.64354,0.51465,0.84669,0.99471,1,0.995,0.82544,0.71489,0.52064,0.83878,0.000665057,0.000665057,0.000665057
56,109.904,0.6668,0.54114,0.86116,0.99127,1,0.995,0.82049,0.77457,0.55851,0.85228,0.000650909,0.000650909,0.000650909
57,111.804,0.65583,0.51732,0.84163,0.98509,1,0.995,0.83018,0.78425,0.55856,0.85544,0.000636762,0.000636762,0.000636762
58,113.69,0.64144,0.50421,0.84142,0.98404,1,0.995,0.85395,0.71841,0.5314,0.84165,0.000622615,0.000622615,0.000622615
59,115.656,0.6318,0.49831,0.8411,0.98813,1,0.995,0.86671,0.68189,0.50798,0.83614,0.000608468,0.000608468,0.000608468
60,117.6,0.62841,0.49937,0.83356,0.99479,1,0.995,0.85722,0.74651,0.51323,0.85294,0.000594321,0.000594321,0.000594321
61,119.598,0.62965,0.49398,0.8502,0.99281,1,0.995,0.84317,0.76485,0.51637,0.8525,0.000580174,0.000580174,0.000580174
62,121.432,0.64156,0.49319,0.8417,0.99185,1,0.995,0.83726,0.75316,0.51926,0.84644,0.000566027,0.000566027,0.000566027
63,123.227,0.65522,0.49532,0.83725,0.99252,1,0.995,0.82985,0.75853,0.52957,0.84733,0.00055188,0.00055188,0.00055188
64,125.126,0.60706,0.49208,0.83421,0.99417,1,0.995,0.84855,0.74066,0.50475,0.84776,0.000537733,0.000537733,0.000537733
65,127.179,0.67456,0.49136,0.85271,0.99518,1,0.995,0.84663,0.73804,0.5008,0.85062,0.000523586,0.000523586,0.000523586
66,129.222,0.6069,0.47746,0.83835,0.99547,1,0.995,0.84162,0.71475,0.49468,0.84365,0.000509438,0.000509438,0.000509438
67,131.147,0.62001,0.49432,0.83774,0.99555,1,0.995,0.83232,0.73401,0.49947,0.8467,0.000495291,0.000495291,0.000495291
68,133.058,0.64261,0.50162,0.86074,0.99291,1,0.995,0.82803,0.81413,0.52206,0.86703,0.000481144,0.000481144,0.000481144
69,134.934,0.62469,0.48275,0.84577,0.9922,1,0.995,0.83537,0.7877,0.52949,0.85716,0.000466997,0.000466997,0.000466997
70,136.799,0.63372,0.48344,0.84097,0.99371,1,0.995,0.84186,0.73336,0.51819,0.84186,0.00045285,0.00045285,0.00045285
71,138.702,0.60125,0.47442,0.82833,0.99405,1,0.995,0.83299,0.74274,0.51318,0.8434,0.000438703,0.000438703,0.000438703
72,140.567,0.59562,0.46237,0.83003,0.99523,1,0.995,0.8331,0.78037,0.50931,0.85578,0.000424556,0.000424556,0.000424556
73,142.46,0.61948,0.45601,0.83541,0.99345,1,0.995,0.84388,0.73971,0.4955,0.84721,0.000410409,0.000410409,0.000410409
74,144.297,0.59727,0.44798,0.8341,0.99343,1,0.995,0.862,0.70742,0.48458,0.84049,0.000396262,0.000396262,0.000396262
75,146.195,0.60134,0.45213,0.82799,0.99388,1,0.995,0.86026,0.73057,0.48794,0.84547,0.000382115,0.000382115,0.000382115
76,148.095,0.62491,0.47687,0.85082,0.99635,1,0.995,0.85734,0.74192,0.4884,0.84655,0.000367967,0.000367967,0.000367967
77,149.927,0.59031,0.44093,0.83264,0.99538,1,0.995,0.86905,0.71283,0.48231,0.83781,0.00035382,0.00035382,0.00035382
78,151.873,0.57527,0.47053,0.83443,0.99431,1,0.995,0.87078,0.67075,0.47354,0.82543,0.000339673,0.000339673,0.000339673
79,153.775,0.58967,0.46215,0.8391,0.99406,1,0.995,0.87068,0.66224,0.47649,0.82255,0.000325526,0.000325526,0.000325526
80,155.628,0.60769,0.46266,0.83944,0.99454,1,0.995,0.86267,0.69441,0.47989,0.8299,0.000311379,0.000311379,0.000311379
81,157.82,0.56276,0.46668,0.81535,0.9948,1,0.995,0.85144,0.73913,0.48903,0.84352,0.000297232,0.000297232,0.000297232
82,159.582,0.58809,0.46166,0.83206,0.99508,1,0.995,0.84251,0.77003,0.49467,0.85181,0.000283085,0.000283085,0.000283085
83,161.457,0.57094,0.45032,0.82121,0.99473,1,0.995,0.85252,0.75002,0.4896,0.84657,0.000268938,0.000268938,0.000268938
84,163.276,0.5428,0.45271,0.82808,0.99471,1,0.995,0.85279,0.75443,0.48546,0.84833,0.000254791,0.000254791,0.000254791
85,165.07,0.53818,0.43542,0.82196,0.99296,1,0.995,0.84424,0.76645,0.48465,0.85241,0.000240644,0.000240644,0.000240644
86,166.923,0.54362,0.45802,0.82746,0.99174,1,0.995,0.85089,0.75009,0.4781,0.84969,0.000226497,0.000226497,0.000226497
87,168.758,0.51814,0.42924,0.82196,0.99178,1,0.995,0.85089,0.74721,0.4748,0.8492,0.000212349,0.000212349,0.000212349
88,170.635,0.54713,0.43065,0.82877,0.99392,1,0.995,0.86027,0.73394,0.4617,0.84584,0.000198202,0.000198202,0.000198202
89,172.574,0.52507,0.41898,0.82753,0.9949,1,0.995,0.86647,0.70644,0.45106,0.83856,0.000184055,0.000184055,0.000184055
90,174.343,0.5053,0.42158,0.80967,0.99547,1,0.995,0.86376,0.699,0.44764,0.8371,0.000169908,0.000169908,0.000169908
91,176.174,0.51614,0.41009,0.82202,0.99487,1,0.995,0.86287,0.70976,0.4494,0.84037,0.000155761,0.000155761,0.000155761
92,177.983,0.50577,0.40958,0.81904,0.99478,1,0.995,0.84291,0.77005,0.46439,0.85591,0.000141614,0.000141614,0.000141614
93,179.751,0.51312,0.41659,0.81652,0.99525,1,0.995,0.84009,0.78935,0.47068,0.86028,0.000127467,0.000127467,0.000127467
94,181.583,0.52649,0.41391,0.82093,0.99501,1,0.995,0.84717,0.79111,0.47232,0.86025,0.00011332,0.00011332,0.00011332
95,183.408,0.48724,0.41945,0.81957,0.99505,1,0.995,0.84983,0.7709,0.46756,0.85422,9.91726e-05,9.91726e-05,9.91726e-05
96,185.212,0.50309,0.42638,0.81871,0.99527,1,0.995,0.86436,0.73473,0.45994,0.8442,8.50255e-05,8.50255e-05,8.50255e-05
97,187.017,0.52477,0.41691,0.81837,0.99547,1,0.995,0.86419,0.71959,0.45579,0.84052,7.08784e-05,7.08784e-05,7.08784e-05
98,189.168,0.49426,0.40949,0.81104,0.99562,1,0.995,0.86386,0.71296,0.45331,0.83916,5.67313e-05,5.67313e-05,5.67313e-05
99,191.168,0.48451,0.40411,0.81907,0.99578,1,0.995,0.86425,0.71344,0.45341,0.83952,4.25842e-05,4.25842e-05,4.25842e-05
100,192.94,0.49388,0.40576,0.8042,0.99572,1,0.995,0.86362,0.72297,0.45271,0.8423,2.84371e-05,2.84371e-05,2.84371e-05
