epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8351,1.36346,3.56836,0.97933,0.86825,0.8568,0.94134,0.68724,0.93842,1.05424,0.85784,0.000232465,0.000232465,0.000232465
2,47.8891,1.01046,0.90728,0.87705,0.95774,0.95743,0.99188,0.69765,0.94974,0.67261,0.87342,0.000465808,0.000465808,0.000465808
3,71.9482,0.97313,0.70656,0.8726,0.92948,0.91179,0.98818,0.73296,0.92914,0.63956,0.86848,0.000694438,0.000694438,0.000694438
4,109.158,0.96921,0.65411,0.87113,0.9735,0.99061,0.98835,0.75957,0.88006,0.51861,0.8605,0.000692794,0.000692794,0.000692794
5,139.284,0.91745,0.59941,0.86368,0.9593,0.98754,0.99129,0.77083,0.85248,0.49458,0.84412,0.000685726,0.000685726,0.000685726
6,176.217,0.92756,0.57266,0.86808,0.98406,0.98752,0.99271,0.77511,0.86884,0.47261,0.85033,0.000678657,0.000678657,0.000678657
7,205.197,0.90122,0.54347,0.86093,0.98296,0.98681,0.99169,0.78036,0.84287,0.46854,0.84445,0.000671588,0.000671588,0.000671588
8,236.204,0.88426,0.52777,0.85723,0.98062,0.99106,0.99133,0.7822,0.83442,0.45922,0.84302,0.00066452,0.00066452,0.00066452
9,266.599,0.86085,0.50749,0.84722,0.96087,0.99255,0.99195,0.7817,0.81939,0.44608,0.83948,0.000657451,0.000657451,0.000657451
10,295.971,0.87243,0.50768,0.85923,0.97786,0.99748,0.99309,0.78901,0.81975,0.4478,0.8421,0.000650383,0.000650383,0.000650383
11,327.02,0.85121,0.49331,0.84971,0.98135,0.99413,0.99279,0.78577,0.8361,0.4447,0.84907,0.000643314,0.000643314,0.000643314
12,356.071,0.87569,0.50693,0.85012,0.98191,0.99806,0.99371,0.78988,0.81384,0.43953,0.84017,0.000636245,0.000636245,0.000636245
13,384.816,0.85182,0.48133,0.8509,0.97987,0.99783,0.99313,0.80472,0.80414,0.42196,0.84031,0.000629177,0.000629177,0.000629177
