epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5705,1.28618,4.90034,0.60912,2.39111,1.39343,0.79516,0.76251,0.85766,0.57214,0.45046,0.3606,0.32189,0.13683,1.17819,3.99958,0.4735,1.77382,1.37301,0.000301278,0.000301278,0.000301278
2,36.8791,1.24649,3.093,0.49092,1.50002,1.31874,0.75357,0.79962,0.875,0.58035,0.53405,0.56135,0.47193,0.22178,1.22429,3.21166,0.31296,1.52604,1.40163,0.000598296,0.000598296,0.000598296
3,53.5774,1.23991,2.56438,0.45292,1.2518,1.31463,0.75169,0.78909,0.85486,0.57741,0.62661,0.54561,0.53289,0.27159,1.13756,2.79611,0.25511,1.25694,1.37615,0.000889314,0.000889314,0.000889314
4,69.1293,1.20675,2.29001,0.42694,1.10391,1.29367,0.78394,0.82548,0.88728,0.59518,0.62859,0.64931,0.62587,0.33672,1.15625,2.45478,0.26054,1.1337,1.36005,0.000882003,0.000882003,0.000882003
5,84.0108,1.18613,2.06121,0.38386,1.00425,1.27374,0.84181,0.85986,0.90657,0.63473,0.72957,0.74439,0.72201,0.45701,1.06905,1.90769,0.26439,0.95889,1.28201,0.000873004,0.000873004,0.000873004
6,98.7415,1.14604,1.79365,0.34901,0.9338,1.25489,0.85607,0.94088,0.9589,0.68479,0.75505,0.81198,0.76755,0.45229,1.0659,2.02304,0.22222,0.79491,1.25325,0.000864004,0.000864004,0.000864004
7,114.307,1.10454,1.66706,0.32198,0.86384,1.23284,0.8802,0.89361,0.94583,0.65711,0.70275,0.66834,0.60973,0.31313,1.10371,3.24835,0.36,0.79851,1.27096,0.000855005,0.000855005,0.000855005
8,130.606,1.0958,1.5107,0.30276,0.84178,1.21954,0.90528,0.94594,0.96675,0.70437,0.84112,0.85938,0.82855,0.53169,1.02125,1.6316,0.16313,0.68929,1.23419,0.000846006,0.000846006,0.000846006
9,146.029,1.07454,1.47594,0.2835,0.81969,1.20841,0.91655,0.93075,0.96025,0.72284,0.86376,0.86734,0.8567,0.59283,0.98059,1.50595,0.1731,0.64318,1.18748,0.000837007,0.000837007,0.000837007
10,161.176,1.06566,1.38411,0.26889,0.78338,1.20156,0.90812,0.94497,0.96975,0.71683,0.87312,0.88186,0.88961,0.6345,0.99753,1.39659,0.13417,0.6407,1.21099,0.000828008,0.000828008,0.000828008
11,177.788,1.08553,1.40036,0.26308,0.78316,1.21053,0.95023,0.96233,0.98332,0.73832,0.89971,0.90681,0.8951,0.62275,0.96155,1.3734,0.19893,0.576,1.18514,0.000819009,0.000819009,0.000819009
12,193.171,1.06299,1.35221,0.24758,0.75809,1.20393,0.90694,0.95911,0.96639,0.73047,0.86853,0.89775,0.87968,0.6556,0.95304,1.31104,0.17156,0.59679,1.17404,0.00081001,0.00081001,0.00081001
13,209.642,1.03107,1.2032,0.22981,0.71052,1.17772,0.93804,0.96425,0.9785,0.73932,0.90049,0.90787,0.90506,0.69263,0.95155,1.23118,0.13223,0.54658,1.15982,0.000801011,0.000801011,0.000801011
14,225.616,1.02935,1.16425,0.2278,0.71625,1.18107,0.92551,0.9722,0.98044,0.74256,0.90691,0.90857,0.90514,0.69657,0.94317,1.21889,0.08045,0.55825,1.16015,0.000792012,0.000792012,0.000792012
15,241.994,1.02478,1.16472,0.22258,0.7019,1.17805,0.94484,0.96401,0.97702,0.74528,0.89366,0.8976,0.87823,0.61204,0.91268,1.39425,0.15408,0.54221,1.15804,0.000783013,0.000783013,0.000783013
16,258.11,1.0106,1.08846,0.22401,0.68121,1.16929,0.94092,0.9602,0.97814,0.75225,0.8999,0.90528,0.89892,0.69359,0.91507,1.20571,0.12357,0.51981,1.14352,0.000774013,0.000774013,0.000774013
17,273.838,0.99878,1.04427,0.2089,0.66788,1.1615,0.90407,0.96761,0.96484,0.7355,0.87215,0.92604,0.88462,0.7004,0.92992,1.11221,0.09976,0.5647,1.16545,0.000765014,0.000765014,0.000765014
18,288.961,0.99183,0.96581,0.19871,0.65974,1.15278,0.94158,0.96854,0.98204,0.75906,0.92508,0.91435,0.91888,0.72828,0.91479,1.09215,0.08478,0.52757,1.14183,0.000756015,0.000756015,0.000756015
19,305.108,0.99269,0.98629,0.19979,0.64864,1.15618,0.94403,0.96591,0.98058,0.75412,0.90952,0.92929,0.90842,0.70587,0.90904,1.11273,0.07999,0.50954,1.13678,0.000747016,0.000747016,0.000747016
20,319.859,0.9783,0.95446,0.19115,0.63776,1.15315,0.94556,0.95612,0.98619,0.75701,0.91563,0.91932,0.91696,0.73195,0.92687,1.07688,0.08102,0.52563,1.14564,0.000738017,0.000738017,0.000738017
21,335.047,0.97375,0.9606,0.18971,0.63231,1.14403,0.94159,0.97407,0.98611,0.7637,0.92772,0.91935,0.92823,0.75262,0.89009,1.04323,0.08619,0.51032,1.13357,0.000729018,0.000729018,0.000729018
22,351.532,0.96082,0.97039,0.19194,0.63457,1.13957,0.93269,0.97799,0.98112,0.75989,0.90286,0.93341,0.90039,0.72662,0.88581,1.07926,0.08167,0.49989,1.12843,0.000720019,0.000720019,0.000720019
23,367.89,0.952,0.90946,0.18658,0.60714,1.13347,0.94427,0.97094,0.98772,0.76466,0.9054,0.92905,0.92239,0.76183,0.88886,0.9982,0.10047,0.48225,1.12797,0.00071102,0.00071102,0.00071102
24,383.953,0.95147,0.90856,0.17956,0.60596,1.1362,0.9477,0.97235,0.98235,0.7604,0.9138,0.92472,0.90677,0.74599,0.89738,0.99217,0.07336,0.51263,1.13401,0.000702021,0.000702021,0.000702021
25,400.165,0.94909,0.84776,0.17547,0.61055,1.13799,0.93888,0.96613,0.98211,0.76173,0.9059,0.93011,0.91497,0.74938,0.89009,1.01185,0.07122,0.48747,1.11837,0.000693022,0.000693022,0.000693022
26,416.437,0.9405,0.86227,0.17558,0.59706,1.13079,0.95618,0.98476,0.98949,0.76248,0.92259,0.94232,0.94059,0.77558,0.88969,0.96076,0.07881,0.47015,1.12562,0.000684022,0.000684022,0.000684022
27,432.669,0.93664,0.80416,0.17214,0.60112,1.12918,0.95752,0.97579,0.98502,0.76329,0.93001,0.94299,0.92719,0.78066,0.87948,0.94627,0.07531,0.46734,1.11641,0.000675023,0.000675023,0.000675023
28,448.941,0.92252,0.81558,0.16866,0.5817,1.11918,0.934,0.97634,0.98741,0.77138,0.91221,0.93888,0.92489,0.77392,0.87848,0.94616,0.07578,0.45602,1.11715,0.000666024,0.000666024,0.000666024
29,465.33,0.93469,0.83039,0.16823,0.57855,1.11954,0.95816,0.97368,0.98672,0.77117,0.92115,0.93355,0.92135,0.7773,0.86768,0.95616,0.07837,0.46038,1.10984,0.000657025,0.000657025,0.000657025
30,481.57,0.93226,0.76717,0.15516,0.56981,1.12214,0.9576,0.97395,0.98814,0.76992,0.9328,0.94211,0.9294,0.78789,0.87905,0.89752,0.06055,0.45649,1.11261,0.000648026,0.000648026,0.000648026
31,497.828,0.92769,0.81019,0.15786,0.5809,1.12074,0.94872,0.98416,0.98367,0.77307,0.91102,0.93204,0.91714,0.79955,0.86993,0.89827,0.07449,0.45799,1.10848,0.000639027,0.000639027,0.000639027
32,514.182,0.92532,0.77777,0.16007,0.57145,1.1154,0.94595,0.9843,0.98758,0.77193,0.91602,0.93689,0.92369,0.79526,0.86493,0.87993,0.06023,0.44853,1.10627,0.000630028,0.000630028,0.000630028
33,530.302,0.9067,0.75851,0.15312,0.55709,1.11083,0.95437,0.97805,0.98804,0.7719,0.92134,0.93998,0.92663,0.7986,0.87073,0.88472,0.05657,0.44823,1.11153,0.000621029,0.000621029,0.000621029
34,546.057,0.90967,0.73422,0.1557,0.56279,1.10746,0.94615,0.9883,0.98583,0.77263,0.91526,0.95286,0.91958,0.79347,0.85602,0.85544,0.06727,0.44396,1.10202,0.00061203,0.00061203,0.00061203
35,561.242,0.90961,0.80446,0.16634,0.55722,1.117,0.95803,0.98628,0.98866,0.77404,0.92558,0.95196,0.9302,0.80009,0.86344,0.8444,0.05772,0.43417,1.10054,0.000603031,0.000603031,0.000603031
36,577.391,0.89924,0.6927,0.14805,0.53698,1.10891,0.97635,0.97771,0.9911,0.78141,0.94308,0.94394,0.93076,0.8225,0.86578,0.83654,0.07459,0.42188,1.10789,0.000594031,0.000594031,0.000594031
37,593.904,0.89737,0.72836,0.15421,0.54577,1.10986,0.94313,0.98775,0.98696,0.77737,0.92176,0.94054,0.92613,0.82132,0.85484,0.84635,0.0552,0.43801,1.10458,0.000585032,0.000585032,0.000585032
