epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3909,1.76676,7.47733,0.71002,3.35252,1.2083,0.59987,0.74369,0.6949,0.46032,0.20883,0.11306,0.08894,0.04161,1.21174,7.22369,0.6251,1.31786,0.96466,0.000298732,0.000298732,0.000298732
2,58.5847,1.27059,5.35854,0.56934,1.77136,0.98007,0.81674,0.78211,0.85812,0.58937,0.44209,0.34639,0.27753,0.11347,1.17011,4.92975,0.51455,1.09689,0.96354,0.000595775,0.000595775,0.000595775
3,83.8194,1.22626,4.36404,0.54349,1.41176,0.97982,0.89474,0.87132,0.92202,0.62045,0.4598,0.44598,0.35173,0.13937,1.21997,4.20994,0.48116,0.89335,0.97757,0.000886819,0.000886819,0.000886819
4,108.871,1.14857,3.73789,0.50479,1.19331,0.96176,0.8588,0.88162,0.93107,0.64373,0.58094,0.60656,0.48473,0.21346,1.14994,3.4956,0.43931,0.9207,0.97175,0.000882003,0.000882003,0.000882003
5,134.159,1.1363,3.35992,0.45464,1.08313,0.95711,0.95231,0.92184,0.96758,0.68863,0.70106,0.68867,0.60036,0.29188,1.10845,3.13567,0.35405,0.75397,0.94931,0.000873004,0.000873004,0.000873004
6,159.794,1.11049,2.95285,0.43261,1.00053,0.95694,0.95607,0.92523,0.97151,0.70738,0.78091,0.7213,0.70556,0.34481,1.02184,2.88758,0.32448,0.72694,0.92839,0.000864004,0.000864004,0.000864004
7,188.013,1.09277,2.57761,0.41237,0.93063,0.94593,0.96659,0.93434,0.97263,0.70121,0.81364,0.78066,0.73358,0.38541,1.04402,2.67722,0.29007,0.66413,0.91979,0.000855005,0.000855005,0.000855005
8,213.842,1.07243,2.51637,0.37995,0.86672,0.9413,0.92667,0.94617,0.96795,0.70789,0.83614,0.79762,0.79701,0.44289,1.03607,2.35093,0.27119,0.67689,0.92476,0.000846006,0.000846006,0.000846006
9,239.585,1.07179,2.15756,0.35731,0.8506,0.93613,0.952,0.93936,0.97532,0.70891,0.85258,0.84104,0.82091,0.49563,1.05103,2.20064,0.2643,0.70492,0.92782,0.000837007,0.000837007,0.000837007
10,265.406,1.05469,2.08321,0.35994,0.82996,0.93903,0.95766,0.95417,0.97887,0.70602,0.89746,0.87366,0.86556,0.54083,1.05748,2.10552,0.25518,0.66093,0.92265,0.000828008,0.000828008,0.000828008
