epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0175,1.31481,3.44295,0.98096,0.98707,0.15481,0.74013,0.50795,1.1227,2.75065,0.89144,0.000253129,0.000253129,0.000253129
2,43.0689,1.06884,1.55222,0.90831,0.89298,0.94721,0.9707,0.70513,1.02409,0.93261,0.89389,0.000504419,0.000504419,0.000504419
3,87.2087,1.04458,1.2549,0.9173,0.88286,0.90333,0.96043,0.67945,1.04034,0.80564,0.90449,0.000750633,0.000750633,0.000750633
4,130.45,1.02829,1.13259,0.91339,0.9576,0.9683,0.97667,0.72198,0.97488,0.64203,0.90128,0.000746161,0.000746161,0.000746161
5,185.454,0.97949,1.04744,0.90556,0.9596,0.96783,0.9831,0.73623,0.97798,0.66621,0.89396,0.000738548,0.000738548,0.000738548
6,245.011,0.96463,0.96263,0.90341,0.95357,0.9593,0.98518,0.73916,0.96361,0.64077,0.89562,0.000730935,0.000730935,0.000730935
7,285.895,0.97541,0.93459,0.90714,0.97341,0.98146,0.98654,0.75198,0.94016,0.58107,0.88788,0.000723321,0.000723321,0.000723321
8,300.382,0.93661,0.88174,0.89125,0.97481,0.97758,0.98642,0.74632,0.93902,0.59251,0.88715,0.000715708,0.000715708,0.000715708
9,314.696,0.95043,0.85717,0.89915,0.96632,0.98124,0.98189,0.7424,0.93216,0.58224,0.88668,0.000708095,0.000708095,0.000708095
10,329.964,0.9362,0.78649,0.89145,0.96721,0.98164,0.98836,0.75848,0.94089,0.5499,0.8842,0.000700482,0.000700482,0.000700482
11,356.969,0.90997,0.75017,0.88145,0.97751,0.98099,0.98899,0.76532,0.91774,0.544,0.87838,0.000692869,0.000692869,0.000692869
12,382.387,0.913,0.73846,0.8817,0.98046,0.98083,0.98866,0.76312,0.92444,0.53707,0.88063,0.000685256,0.000685256,0.000685256
13,408.834,0.91601,0.71787,0.88901,0.97128,0.99029,0.98811,0.76124,0.93177,0.53812,0.88412,0.000677643,0.000677643,0.000677643
14,433.997,0.88672,0.69413,0.87662,0.97954,0.98811,0.98953,0.77607,0.8887,0.51734,0.87416,0.00067003,0.00067003,0.00067003
15,459.207,0.87483,0.6667,0.87578,0.97587,0.98486,0.98957,0.76152,0.93857,0.52591,0.88862,0.000662417,0.000662417,0.000662417
16,484.826,0.90554,0.66849,0.88204,0.98043,0.98331,0.9872,0.77071,0.90551,0.52038,0.87885,0.000654804,0.000654804,0.000654804
17,511.193,0.87677,0.64442,0.8813,0.97281,0.99414,0.98927,0.77206,0.90994,0.5183,0.87788,0.00064719,0.00064719,0.00064719
18,536.883,0.88316,0.63847,0.8868,0.97758,0.98657,0.98806,0.77232,0.89304,0.5091,0.87479,0.000639577,0.000639577,0.000639577
19,562.295,0.87039,0.61961,0.87744,0.96987,0.99138,0.98874,0.77724,0.89137,0.51399,0.87504,0.000631964,0.000631964,0.000631964
20,587.958,0.85058,0.60131,0.8778,0.98158,0.99109,0.98988,0.77997,0.88974,0.5013,0.87249,0.000624351,0.000624351,0.000624351
21,613.331,0.86028,0.59766,0.87584,0.97653,0.98734,0.98975,0.77136,0.89884,0.49675,0.87421,0.000616738,0.000616738,0.000616738
22,638.798,0.85457,0.58033,0.874,0.9774,0.98653,0.98589,0.77797,0.8877,0.49124,0.87076,0.000609125,0.000609125,0.000609125
23,664.607,0.8653,0.57209,0.87745,0.97828,0.98987,0.98684,0.78126,0.89453,0.48467,0.87469,0.000601512,0.000601512,0.000601512
24,690.32,0.84364,0.55958,0.87009,0.97788,0.98729,0.989,0.77739,0.88959,0.48884,0.87367,0.000593899,0.000593899,0.000593899
25,716.033,0.85807,0.54972,0.87971,0.98375,0.98733,0.9894,0.77747,0.90254,0.48086,0.8742,0.000586286,0.000586286,0.000586286
26,741.83,0.85032,0.53927,0.87053,0.98388,0.98683,0.99061,0.77813,0.90238,0.48205,0.87418,0.000578672,0.000578672,0.000578672
27,767.208,0.84898,0.54674,0.87368,0.97866,0.98812,0.98926,0.78718,0.89388,0.48657,0.87068,0.000571059,0.000571059,0.000571059
28,792.8,0.8521,0.54303,0.87074,0.97666,0.99168,0.98831,0.78847,0.87553,0.46778,0.86725,0.000563446,0.000563446,0.000563446
29,819.788,0.82762,0.52009,0.8701,0.97452,0.99176,0.99072,0.79537,0.87525,0.46645,0.87022,0.000555833,0.000555833,0.000555833
30,845.576,0.8548,0.52475,0.87538,0.98284,0.98917,0.99014,0.78405,0.89118,0.46197,0.87183,0.00054822,0.00054822,0.00054822
31,871.13,0.82726,0.51473,0.86832,0.98065,0.98845,0.98936,0.78539,0.88479,0.47369,0.87002,0.000540607,0.000540607,0.000540607
32,896.842,0.83796,0.5139,0.86751,0.98757,0.9894,0.99129,0.78848,0.87765,0.46066,0.86989,0.000532994,0.000532994,0.000532994
33,922.759,0.8337,0.50961,0.868,0.98391,0.98842,0.99034,0.78541,0.88673,0.47117,0.8731,0.000525381,0.000525381,0.000525381
34,948.482,0.83824,0.50335,0.87258,0.98305,0.98953,0.99138,0.79281,0.88001,0.45709,0.86922,0.000517768,0.000517768,0.000517768
35,974.333,0.83426,0.50172,0.86865,0.98333,0.99098,0.99209,0.79326,0.88376,0.45682,0.86739,0.000510155,0.000510155,0.000510155
36,1000.1,0.82126,0.48305,0.85972,0.98028,0.99154,0.9904,0.79597,0.86918,0.45301,0.86728,0.000502541,0.000502541,0.000502541
37,1026.02,0.84195,0.4973,0.87068,0.98026,0.99056,0.99087,0.79177,0.89492,0.45603,0.87191,0.000494928,0.000494928,0.000494928
