epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.577,1.19852,4.44677,0.59398,1.99952,1.40008,0.81689,0.84026,0.8748,0.62126,0.60297,0.62217,0.5029,0.22266,1.0785,3.75652,0.5025,1.14792,1.38339,0.000301298,0.000301298,0.000301298
2,173.988,1.10716,2.68948,0.49624,1.16324,1.2808,0.86186,0.83378,0.90724,0.64802,0.64237,0.62934,0.56885,0.27578,1.05538,2.91953,0.49481,1.01312,1.34359,0.000598315,0.000598315,0.000598315
3,243.455,1.09586,2.45466,0.45813,1.01028,1.26664,0.887,0.92659,0.95978,0.68542,0.69149,0.69722,0.6572,0.30204,1.10742,3.06092,0.47647,0.84792,1.38623,0.000889333,0.000889333,0.000889333
4,296.128,1.08001,2.11963,0.41353,0.90382,1.25609,0.9075,0.88176,0.94604,0.63859,0.78312,0.76298,0.75307,0.45546,1.13624,2.31607,0.3655,0.84253,1.38719,0.000882003,0.000882003,0.000882003
5,346.124,1.03661,1.86108,0.37439,0.82065,1.21799,0.92419,0.88137,0.96519,0.73101,0.79294,0.76467,0.777,0.47994,0.96201,2.12985,0.47447,0.66532,1.26116,0.000873004,0.000873004,0.000873004
6,397.211,1.00132,1.66565,0.3396,0.74274,1.20109,0.96399,0.92123,0.97852,0.75019,0.84914,0.79836,0.78152,0.46486,0.95144,2.25162,0.33977,0.62482,1.26057,0.000864004,0.000864004,0.000864004
7,482.896,0.97341,1.60108,0.31304,0.71153,1.18618,0.94915,0.9137,0.97419,0.75237,0.85242,0.80804,0.81325,0.5076,0.92226,1.92535,0.36365,0.60045,1.22353,0.000855005,0.000855005,0.000855005
8,565.959,0.9483,1.39454,0.29301,0.68712,1.17727,0.95319,0.94,0.98276,0.76442,0.90258,0.88541,0.88142,0.64357,0.88841,1.59565,0.32557,0.55045,1.20932,0.000846006,0.000846006,0.000846006
9,640.64,0.92873,1.29835,0.27447,0.64278,1.15969,0.96357,0.95344,0.98474,0.78344,0.91627,0.86189,0.87082,0.64355,0.83927,1.59089,0.20413,0.48039,1.15947,0.000837007,0.000837007,0.000837007
10,750.263,0.92269,1.19405,0.25673,0.63459,1.16161,0.94623,0.9329,0.96875,0.73133,0.84054,0.82199,0.80173,0.50852,0.95385,2.1006,0.63656,0.59059,1.27872,0.000828008,0.000828008,0.000828008
11,872.872,0.90948,1.14929,0.23876,0.61967,1.15002,0.96072,0.9463,0.98553,0.77445,0.90769,0.84183,0.86077,0.57093,0.88315,1.78627,0.2982,0.49326,1.18696,0.000819009,0.000819009,0.000819009
12,1042,0.90162,1.12795,0.23701,0.60737,1.14533,0.96176,0.93911,0.98481,0.77422,0.90726,0.88369,0.88904,0.67806,0.86751,1.37766,0.24245,0.5089,1.18405,0.00081001,0.00081001,0.00081001
13,1339.88,0.88045,1.08167,0.22401,0.58495,1.13335,0.97051,0.96598,0.98897,0.78468,0.94077,0.8841,0.90024,0.72097,0.85168,1.38696,0.30148,0.46231,1.17108,0.000801011,0.000801011,0.000801011
14,1452.19,0.87832,1.04415,0.21769,0.57175,1.13051,0.96528,0.97067,0.98962,0.78602,0.93916,0.88418,0.9033,0.72731,0.83723,1.23787,0.16933,0.43897,1.16398,0.000792012,0.000792012,0.000792012
15,1614.04,0.86811,0.9692,0.21002,0.54941,1.12638,0.97767,0.95695,0.99035,0.78628,0.93224,0.89675,0.91382,0.71932,0.83189,1.35887,0.21772,0.45111,1.16062,0.000783013,0.000783013,0.000783013
16,1670.37,0.84675,0.90803,0.20205,0.53989,1.11416,0.95826,0.97961,0.99065,0.79547,0.9142,0.89371,0.90159,0.72099,0.80759,1.2774,0.28743,0.427,1.1398,0.000774013,0.000774013,0.000774013
17,1726.56,0.83406,0.87854,0.19193,0.52241,1.10839,0.93402,0.94924,0.97697,0.75954,0.89161,0.85046,0.86848,0.67442,0.87162,1.49533,0.19697,0.51194,1.1872,0.000765014,0.000765014,0.000765014
18,1781.57,0.84197,0.89431,0.19422,0.52411,1.11904,0.98334,0.96691,0.99011,0.79332,0.91356,0.89778,0.87826,0.72263,0.80592,1.16636,0.19487,0.43044,1.14155,0.000756015,0.000756015,0.000756015
19,1836.64,0.82193,0.89839,0.1972,0.52888,1.10487,0.9765,0.96594,0.99008,0.8011,0.91432,0.90195,0.9005,0.76232,0.79346,1.17185,0.14187,0.42539,1.13676,0.000747016,0.000747016,0.000747016
20,1888.76,0.82697,0.85331,0.19057,0.51779,1.10188,0.97805,0.96865,0.99213,0.80717,0.93482,0.89653,0.91374,0.7689,0.78958,1.14891,0.1935,0.4034,1.11552,0.000738017,0.000738017,0.000738017
21,1941.79,0.81177,0.81994,0.1866,0.50882,1.09599,0.96383,0.98196,0.992,0.80962,0.94082,0.89556,0.91626,0.74084,0.78811,1.22133,0.15922,0.40127,1.12159,0.000729018,0.000729018,0.000729018
22,1996.15,0.80647,0.80919,0.18376,0.49547,1.09347,0.98319,0.96213,0.99141,0.80845,0.94341,0.90483,0.92297,0.77886,0.77879,1.13541,0.1555,0.42001,1.11517,0.000720019,0.000720019,0.000720019
23,2050.78,0.79073,0.78624,0.18047,0.48886,1.08893,0.96417,0.97589,0.99173,0.82278,0.92646,0.89623,0.90893,0.77365,0.74537,1.14171,0.15229,0.38974,1.10282,0.00071102,0.00071102,0.00071102
24,2105.47,0.79257,0.71847,0.17263,0.48555,1.08871,0.96814,0.98892,0.9926,0.81766,0.93733,0.8999,0.92065,0.79015,0.76494,1.1117,0.15576,0.39796,1.10807,0.000702021,0.000702021,0.000702021
25,2160.15,0.78834,0.76031,0.16617,0.47921,1.08282,0.97596,0.97175,0.99283,0.82196,0.95294,0.90804,0.92835,0.79277,0.75445,1.07264,0.14015,0.37883,1.09332,0.000693022,0.000693022,0.000693022
26,2219.76,0.79579,0.71109,0.16125,0.47391,1.08299,0.98245,0.97246,0.99197,0.81257,0.93264,0.90503,0.91574,0.76516,0.76277,1.07946,0.15881,0.39461,1.11206,0.000684022,0.000684022,0.000684022
27,2272.15,0.76927,0.74138,0.16695,0.47232,1.0764,0.97881,0.97259,0.98985,0.81831,0.9442,0.90481,0.92206,0.76259,0.75181,1.10259,0.11102,0.38554,1.10529,0.000675023,0.000675023,0.000675023
28,2325.13,0.78065,0.69571,0.15916,0.46518,1.0779,0.97106,0.98298,0.98711,0.81154,0.93265,0.90996,0.91889,0.7858,0.75668,1.03427,0.14951,0.37076,1.09947,0.000666024,0.000666024,0.000666024
29,2377.27,0.77003,0.65943,0.1501,0.45792,1.07185,0.95938,0.97806,0.99034,0.82155,0.94215,0.90657,0.92567,0.80121,0.75954,0.99468,0.14513,0.38673,1.0996,0.000657025,0.000657025,0.000657025
30,2429.36,0.7507,0.65529,0.15926,0.44949,1.06725,0.97584,0.98182,0.99192,0.81384,0.93385,0.91737,0.92013,0.79988,0.75773,0.98198,0.17893,0.37881,1.09769,0.000648026,0.000648026,0.000648026
31,2485.6,0.75756,0.67132,0.15247,0.45786,1.07545,0.96604,0.98455,0.99062,0.8222,0.94147,0.91574,0.9272,0.80172,0.74127,1.04815,0.13666,0.36682,1.09743,0.000639027,0.000639027,0.000639027
32,2539.91,0.74434,0.64201,0.15164,0.4466,1.05708,0.96989,0.98149,0.99199,0.82111,0.93643,0.90944,0.931,0.8123,0.73049,1.01188,0.13591,0.36595,1.08626,0.000630028,0.000630028,0.000630028
33,2595.84,0.73384,0.59798,0.14118,0.43918,1.05679,0.90439,0.93994,0.98085,0.79155,0.8492,0.86429,0.87912,0.67967,0.80874,1.54366,0.14381,0.47461,1.14704,0.000621029,0.000621029,0.000621029
34,2648.94,0.7344,0.59407,0.14356,0.44009,1.0607,0.98154,0.97787,0.99194,0.82877,0.93674,0.91743,0.92418,0.81,0.72266,0.94628,0.19033,0.36439,1.07879,0.00061203,0.00061203,0.00061203
35,2700.79,0.74365,0.61166,0.14287,0.43794,1.06217,0.97824,0.97586,0.9914,0.81945,0.95008,0.92407,0.94265,0.81811,0.73031,1.00027,0.1298,0.3572,1.0861,0.000603031,0.000603031,0.000603031
36,2755.65,0.71852,0.59429,0.14269,0.42167,1.05184,0.97197,0.9762,0.99107,0.82131,0.9434,0.90797,0.93625,0.82587,0.74484,0.93822,0.11689,0.36338,1.09623,0.000594031,0.000594031,0.000594031
37,2809.72,0.72515,0.56867,0.13827,0.42449,1.05439,0.9853,0.9674,0.9929,0.82951,0.94976,0.9133,0.93566,0.81132,0.72402,0.96578,0.11654,0.35009,1.07726,0.000585032,0.000585032,0.000585032
38,2927.42,0.72617,0.57635,0.13109,0.42556,1.05789,0.9862,0.97563,0.99358,0.82929,0.94884,0.91919,0.92551,0.83247,0.70939,0.88466,0.11559,0.34839,1.07675,0.000576033,0.000576033,0.000576033
39,3114.78,0.71036,0.56429,0.14007,0.42164,1.05268,0.97251,0.98758,0.99194,0.82699,0.9456,0.91396,0.92786,0.799,0.72596,0.98264,0.13525,0.35124,1.09206,0.000567034,0.000567034,0.000567034
40,3278.22,0.71477,0.54201,0.12843,0.41624,1.04837,0.97864,0.9811,0.99188,0.82562,0.94327,0.92282,0.92496,0.82478,0.71476,0.91174,0.09865,0.34556,1.08338,0.000558035,0.000558035,0.000558035
41,3333.28,0.7083,0.55287,0.13329,0.41606,1.04257,0.97999,0.98565,0.99355,0.82722,0.93563,0.91787,0.93214,0.82892,0.71781,0.91207,0.12373,0.34585,1.08529,0.000549036,0.000549036,0.000549036
42,3407.59,0.69353,0.52051,0.13318,0.40642,1.0437,0.98917,0.97351,0.99324,0.83687,0.96148,0.91267,0.94337,0.84549,0.702,0.89764,0.10468,0.33578,1.06949,0.000540037,0.000540037,0.000540037
43,3508.09,0.70318,0.54475,0.1235,0.41268,1.04956,0.98364,0.97489,0.9909,0.82824,0.9468,0.9216,0.93459,0.8258,0.71517,0.86547,0.08394,0.34801,1.0757,0.000531038,0.000531038,0.000531038
44,3563.38,0.6896,0.47528,0.11859,0.39922,1.0408,0.97235,0.98915,0.99232,0.82975,0.95412,0.92017,0.93377,0.83569,0.71139,0.86794,0.10303,0.34471,1.08045,0.000522039,0.000522039,0.000522039
45,3617.54,0.67971,0.50925,0.12129,0.39365,1.02947,0.96327,0.9935,0.99276,0.84024,0.95929,0.91986,0.93839,0.84539,0.69979,0.87658,0.08057,0.33152,1.07475,0.00051304,0.00051304,0.00051304
46,3674.48,0.68321,0.49526,0.12907,0.39755,1.03604,0.97856,0.98512,0.99327,0.83812,0.94825,0.91898,0.92892,0.83786,0.69841,0.89648,0.1292,0.32683,1.06448,0.00050404,0.00050404,0.00050404
47,3731.29,0.68453,0.50303,0.12169,0.39792,1.0367,0.98668,0.97604,0.99311,0.83613,0.95292,0.92025,0.93932,0.84701,0.70467,0.88231,0.12555,0.3291,1.07358,0.000495041,0.000495041,0.000495041
48,3786.79,0.67837,0.51792,0.12107,0.39067,1.03374,0.98008,0.98415,0.99349,0.83345,0.95228,0.92054,0.94127,0.86052,0.70833,0.83905,0.10026,0.32339,1.07266,0.000486042,0.000486042,0.000486042
49,3836.5,0.66811,0.47452,0.11865,0.38418,1.0327,0.98719,0.97508,0.99341,0.83204,0.95709,0.92444,0.94106,0.8483,0.70826,0.8626,0.078,0.33432,1.08125,0.000477043,0.000477043,0.000477043
50,3948.2,0.66591,0.48974,0.11885,0.3838,1.02844,0.97615,0.98687,0.99309,0.83098,0.95923,0.92605,0.94346,0.84743,0.71029,0.87332,0.08949,0.33839,1.07352,0.000468044,0.000468044,0.000468044
51,4092.23,0.66415,0.46139,0.11786,0.38736,1.03016,0.97569,0.98639,0.99372,0.83517,0.95399,0.92099,0.939,0.8448,0.70837,0.85525,0.09435,0.32444,1.07967,0.000459045,0.000459045,0.000459045
