epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0061,1.41119,3.21386,0.98618,0.93853,0.93906,0.97736,0.69848,0.96246,0.91929,0.83996,0.000295026,0.000295026,0.000295026
2,48.3019,1.0153,0.82978,0.8768,0.97697,0.98379,0.99021,0.72377,0.9337,0.59952,0.84416,0.000592106,0.000592106,0.000592106
3,64.1866,1.00293,0.65983,0.87185,0.95765,0.97218,0.9825,0.71852,0.94165,0.55547,0.84365,0.000883186,0.000883186,0.000883186
4,77.9243,1.00603,0.65316,0.87825,0.97655,0.98599,0.99248,0.74264,0.906,0.54387,0.84483,0.000882003,0.000882003,0.000882003
5,93.2316,0.94392,0.57647,0.85888,0.98513,0.98599,0.99289,0.7551,0.89305,0.49931,0.8425,0.000873004,0.000873004,0.000873004
6,104.451,0.95236,0.57833,0.86725,0.96951,0.99169,0.99186,0.75794,0.88345,0.5155,0.83885,0.000864004,0.000864004,0.000864004
7,115.06,0.92909,0.5537,0.85858,0.98138,0.99576,0.99431,0.75167,0.87521,0.47745,0.83525,0.000855005,0.000855005,0.000855005
8,125.265,0.90994,0.53205,0.85314,0.98876,0.99054,0.99418,0.76249,0.85596,0.461,0.82938,0.000846006,0.000846006,0.000846006
9,136.162,0.90742,0.51496,0.85701,0.99152,0.99574,0.99469,0.77263,0.83063,0.45547,0.82736,0.000837007,0.000837007,0.000837007
10,155.842,0.88111,0.49641,0.85215,0.98751,0.9891,0.99322,0.7724,0.83867,0.44487,0.8293,0.000828008,0.000828008,0.000828008
11,170.244,0.88497,0.49309,0.84587,0.9826,0.99056,0.99346,0.76513,0.82845,0.45619,0.82971,0.000819009,0.000819009,0.000819009
12,198.484,0.8744,0.48692,0.8464,0.98175,0.99212,0.99123,0.76032,0.83973,0.44371,0.82617,0.00081001,0.00081001,0.00081001
13,214.469,0.8821,0.49723,0.85381,0.98545,0.99237,0.99437,0.78054,0.82923,0.43276,0.8282,0.000801011,0.000801011,0.000801011
14,241.2,0.87295,0.48431,0.84768,0.98585,0.9934,0.99403,0.7749,0.82431,0.43526,0.82698,0.000792012,0.000792012,0.000792012
15,262.693,0.84702,0.47345,0.84325,0.98911,0.99105,0.99468,0.76742,0.83605,0.42791,0.82889,0.000783013,0.000783013,0.000783013
16,293.197,0.88238,0.4789,0.84984,0.99248,0.99283,0.99451,0.77808,0.82758,0.42161,0.82732,0.000774013,0.000774013,0.000774013
