epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6763,2.19937,7.0924,0.72179,3.31029,1.39301,0.65625,0.63433,0.69807,0.4321,0.07838,0.07051,0.04254,0.00698,1.29256,7.72077,0.67021,1.91537,0.91064,0.000295026,0.000295026,0.000295026
2,68.6041,1.24831,4.63649,0.48249,1.52817,0.93227,0.85602,0.84102,0.9116,0.606,0.38325,0.38435,0.27688,0.12353,1.16799,4.75219,0.4577,1.11371,0.90204,0.000592106,0.000592106,0.000592106
3,83.3325,1.19131,3.54222,0.37813,1.0935,0.92397,0.92333,0.93265,0.96782,0.64443,0.65425,0.66446,0.56286,0.24687,1.10054,3.25008,0.29645,0.85887,0.89546,0.000883186,0.000883186,0.000883186
4,94.0089,1.1718,3.10059,0.34429,0.97816,0.9266,0.88808,0.94598,0.96275,0.65743,0.57543,0.6153,0.48094,0.2165,1.11742,3.57163,0.22973,0.77712,0.89773,0.000882003,0.000882003,0.000882003
5,108.789,1.12241,2.79416,0.32307,0.868,0.91048,0.95297,0.97642,0.98354,0.69481,0.7977,0.81025,0.75226,0.35792,1.01228,2.59904,0.21722,0.6414,0.87947,0.000873004,0.000873004,0.000873004
6,147.62,1.09169,2.38019,0.29254,0.82079,0.90928,0.95202,0.94845,0.97769,0.68933,0.84672,0.80765,0.77813,0.41088,1.00809,2.3624,0.183,0.65715,0.87654,0.000864004,0.000864004,0.000864004
7,207.832,1.08726,2.17366,0.2788,0.79698,0.90065,0.93776,0.96781,0.98602,0.696,0.82832,0.85659,0.8277,0.50892,1.02112,1.97142,0.17542,0.64873,0.88098,0.000855005,0.000855005,0.000855005
8,262.296,1.04512,1.97381,0.27626,0.73097,0.89758,0.97563,0.98086,0.98871,0.71648,0.89519,0.90039,0.87232,0.5529,0.97269,1.87465,0.1707,0.60327,0.88096,0.000846006,0.000846006,0.000846006
9,316.768,1.02722,1.84788,0.28086,0.6989,0.90277,0.96609,0.98641,0.98999,0.70879,0.8842,0.89068,0.85386,0.50614,0.98647,1.86012,0.15707,0.58284,0.87316,0.000837007,0.000837007,0.000837007
10,370.291,1.00636,1.69648,0.26298,0.66601,0.89209,0.96208,0.98276,0.98908,0.72547,0.89065,0.90681,0.88117,0.55119,0.96577,1.82016,0.15583,0.59196,0.86438,0.000828008,0.000828008,0.000828008
11,427.083,0.99313,1.5559,0.24706,0.65892,0.87787,0.97106,0.97969,0.98976,0.72994,0.90476,0.91323,0.894,0.61358,0.94466,1.63407,0.14021,0.58101,0.8623,0.000819009,0.000819009,0.000819009
12,481.439,0.96844,1.71205,0.25691,0.63847,0.87837,0.97863,0.99223,0.99001,0.73067,0.91956,0.93186,0.90679,0.66476,0.93492,1.54615,0.14055,0.56499,0.86104,0.00081001,0.00081001,0.00081001
13,522.87,0.98374,1.5877,0.25377,0.63373,0.88351,0.98556,0.98716,0.9916,0.73257,0.92722,0.92923,0.90855,0.6474,0.93015,1.51295,0.13628,0.5453,0.86035,0.000801011,0.000801011,0.000801011
14,557.56,0.96439,1.47657,0.25605,0.61637,0.87938,0.97866,0.99075,0.99111,0.73135,0.92061,0.9329,0.90876,0.67181,0.91526,1.47747,0.13133,0.53214,0.85675,0.000792012,0.000792012,0.000792012
15,612.629,0.93097,1.25773,0.23094,0.58809,0.87044,0.98059,0.99097,0.99154,0.748,0.9423,0.94089,0.92609,0.68945,0.87374,1.41304,0.12744,0.51031,0.84772,0.000783013,0.000783013,0.000783013
16,682.664,0.96571,1.33047,0.23134,0.59494,0.87672,0.98788,0.99173,0.99184,0.73058,0.93957,0.93965,0.91925,0.66853,0.9566,1.48302,0.1096,0.52726,0.86329,0.000774013,0.000774013,0.000774013
17,737.958,0.91986,1.17848,0.20796,0.56908,0.86264,0.97842,0.99678,0.99243,0.74574,0.92861,0.94423,0.92494,0.69615,0.89092,1.36612,0.10724,0.51395,0.85144,0.000765014,0.000765014,0.000765014
18,839.709,0.90223,1.2958,0.22938,0.5566,0.86718,0.98167,0.98731,0.99201,0.74861,0.94447,0.94192,0.93338,0.69556,0.88732,1.35128,0.10423,0.4984,0.84968,0.000756015,0.000756015,0.000756015
19,877.747,0.90824,1.27523,0.21994,0.56379,0.86862,0.98536,0.98862,0.99208,0.75442,0.93107,0.93287,0.91607,0.73287,0.87401,1.28113,0.09661,0.51181,0.84877,0.000747016,0.000747016,0.000747016
20,902.928,0.90666,1.22471,0.20191,0.55613,0.86752,0.97916,0.99571,0.9918,0.74553,0.92819,0.934,0.90582,0.71186,0.90505,1.34302,0.09053,0.5118,0.84957,0.000738017,0.000738017,0.000738017
21,963.155,0.92442,1.23588,0.2061,0.55717,0.8666,0.98184,0.98767,0.99233,0.75139,0.93374,0.94035,0.93289,0.73946,0.86259,1.25628,0.09186,0.48975,0.84247,0.000729018,0.000729018,0.000729018
22,1018.98,0.88568,1.21236,0.21523,0.53557,0.86384,0.97553,0.99018,0.98997,0.75024,0.93117,0.95032,0.92746,0.74284,0.86098,1.27257,0.08908,0.48532,0.84462,0.000720019,0.000720019,0.000720019
